"","ID","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F200","F201","F202","F203","F204","F205","F206","F207","F208","F209","F210","F211","F300","F400","F401","F402","F403","F500","F501","F502","F503","F504","F505","F506","F507","F508","F509","F510","F511","F512","F513","F514","F515","F516","F517","F518","F519","F520","F521","F600","F601","F602","F603"
"33",437,5,4,0,0,1,42,4,18,5,5,2,2,1,4,1,0,6,1,1,2,314,314,0,366,19,366,1,1,1,1,1,2,1,0,1,1,11,3,1,60,120,30,60,120,30,0,120,0,10,115,4,3,614,121,86,86,43,50,23.8,0,1.05714285714286,1.17142857142857
"34",438,5,4,0,0,2,61,2,28,9,9,2,3,1,6,1,0,6,0,0,1,487,487,0,635,53,635,1,1,1,1,1,2,3,0,1,1,10,3,1,30,180,30,30,180,30,0,180,0,27,270,1,9,30099,21731,295,269,142,166,75,0.0133333333333333,0.84,1.48
"35",439,4,4,0,0,2,64,10,18,13,10,2,3,5,2,1,0,7,0,0,1,629,620,0,629,21,629,1,1,1,1,1,2,3,0,1,1,4,6,1,2,2,0,2,2,0,0,2,0,1,35,0,0,4420,4579,163,145,99,102,70.7872340425532,0.00709219858156028,0.822695035460993,1.54609929078014
"36",440,6,4,0,0,1,110,13,50,10,13,3,4,3,8,6,0,7,1,1,1,955,955,0,834,34,834,1,1,1,1,1,2,5,0,0,1,11,2,1,30,150,180,30,150,180,0,90,0,42,10,5,8,22040,26105,273,159,60,103,75,0.02,0.873333333333333,1.46
"37",441,5,4,0,0,1,57,3,36,0,6,3,1,2,5,1,0,6,1,1,1,96,96,0,184,61,184,1,1,1,1,1,2,2,0,1,1,40,3,1,0,30,30,0,30,30,0,30,30,1,35,1,0,5326,9854,136,169,128,126,64.2131147540984,0.0245901639344262,0.901639344262295,1.42622950819672
"38",442,6,4,0,0,1,121,5,50,21,21,4,4,5,6,2,3,9,1,1,2,2160,350,711,350,45,350,1,1,1,1,1,2,4,0,1,1,9,3,1,6,9,7,6,9,7,7,7,7,1,68,164,132,17463,14410,854,727,282,268,89.2857142857143,0,0.64,1.49142857142857
"39",443,6,4,0,0,1,63,7,29,2,3,2,4,4,8,4,0,6,0,0,9,1500,900,600,1374,17,1374,1,1,1,1,1,2,1,0,1,1,50,192,1,15,22,10,16,26,11,0,45,0,46,460,13,9,2957,2270,215,138,204,131,40.8441558441558,0,0.922077922077922,1.33766233766234
"40",444,6,4,0,0,1,69,8,30,0,6,3,6,3,9,4,0,7,1,2,1,2082,2082,0,850,22,850,1,1,1,1,1,2,4,0,1,1,10,8,1,0,15,20,0,20,17,0,12,18,20,200,13,16,3223,1858,144,210,112,181,70.7872340425532,0.00709219858156028,0.815602836879433,1.43262411347518
"41",445,4,4,0,0,2,59,23,18,1,5,2,2,3,2,3,0,3,0,0,9,160,160,0,320,8,320,1,1,1,1,1,1,1,0,1,1,9,9,1,30,30,30,30,30,30,30,30,30,14,130,0,0,85,72,85,72,31,32,42.5,0,0.779411764705882,1.35294117647059
"42",446,6,4,0,0,1,96,11,35,14,9,5,4,5,12,1,0,8,1,1,7,1113,1113,0,3129,17,3129,1,1,1,1,1,2,6,0,1,1,7,2,1,280,224,24,0,224,24,280,224,0,1,10,1,4,195,226,104,162,76,133,89.2857142857143,0,0.628571428571429,1.58285714285714
"43",447,5,4,0,0,1,60,10,29,0,5,2,2,2,9,1,0,1,0,0,3,2257,2257,0,1044,36,1044,1,1,1,1,1,1,7,0,1,1,90,4,1,0,210,90,0,210,90,0,210,0,27,281,8,4,45818,25654,122,73,97,61,75,0,0.506666666666667,1.66666666666667
"44",448,5,4,0,0,1,86,10,31,10,6,6,3,3,13,1,3,0,0,0,7,1378,1022,356,1117,34,1117,1,1,1,1,1,2,3,0,1,1,12,12,1,300,180,0,300,180,0,1,180,0,0,0,8,21,1200,900,165,172,92,83,75,0,0.453333333333333,1.74666666666667
